Domestic Opening,Name,Domestic Distributor,Earliest Release Date,MPAA,Running Time,Genres,Overview,Actors,Film makers
,Yesterday Once More,,"April 22, 2016 (China)",,1 hr 48 min,Drama Romance,"Lin Tianjiao (Shutong Guo) is the top girl in her school. During one of her tests, she resorted to copying from notes, and is spotted by Gao Xiang (Jingting Bai), who is considered a wayward student. When the note was discovered by the teacher, Gao Xiang chooses to claim responsibility for trying to cheat. Lin Tianjiao feels apologetic towards Gao Xiang, and begins their friendship. Meanwhile, Lin Tianjiao's good friend, Lu Tiantian (Herun Wang) is courting Ou Xiaoyang (Guansen Ding). However, due to his poor academic standing, Lin Tianjiao ignores him completely. Classmate Huang Tao (Hongyi Li) is secretly in love with Lin Tianjiao, but is too shy to express it. As a result, he and his best buddy, Li Tao (Wenlong Zhao) are at loggerheads with Gao Xiang. The relationship between Lin Tianjiao and Gao Xiang develops, as she begins to understand Gao Xiang better. Knowing that she likes astronomy, Gao Xiang buys tickets for an Astronomy Exhibition and dates Lin Tianjiao. Lin Tianjiao's mother insists that Lin Tianjiao focuses on her school work, and does not allow her any time off, any allowance for friendship. As a result, Gao Xiang never gets to go on the date with Lin Tianjiao. Meanwhile, as an act of love for Lin Tianjiao, Gao Xiang steals into the Astronomy Exhibition at night to take photographs of the place. He is arrested and forced to quit school. Before he leaves, he and his band of friends from the local auto-shop steal into the school to paint astronomical images on to the walls and ceiling of the classroom that Gao Xiang and Lin Tianjiao studied in. At the award of the best student award to Lin Tianjiao, Huang Tao tells her that Gao Xiang is leaving town. Lin Tianjiao uses the opportunity of the award speech to tell of her selfishness as she sought the award. From ignoring the feelings of Lu Tiantian (and her relationship with Ou Xiaoyang) and her brother, Lin Ziao; as well as her good friend, Gao Xiang. She then declines the award, and leaves the auditorium to rush to the train station to bid farewell to Gao Xiang. Unfortunately, she misses Gao Xiang. She (plus her brother, Lu Tiantian and Ou Xiaoyang) run into Gao Xiang's friends from the auto-ship, and hitch a ride to the local radio station, where Lin Tianjiao uses the programming to say farewell to Gao Xiang (singing The Beatles ' song ""Hey Jude""). After a few years, Lin Tianjiao is a famous astronomer. She gave up on her mother's plan for her to study finance in Tsinghua University, but decided to follow her own dreams of doing astronomy. She plans a trip to Africa, hoping to meet Gao Xiang in Africa. Meanwhile, the rest of the group meet at Huang Tao's wedding, with Li Tao as his best man. Lu Tiantian and Ou Xiaoyang are still courting, and Ou Xiaoyang is intending to propose to her.","['Jingting Bai', 'Shutong Guo', 'Hongyi Li', 'Herun Wang']","['Tingting Yao', 'Tong Liu', 'Bo Tian', 'Ning Zhong', 'Tong Liu', 'Tingting Yao', 'Xiaoping Fu', 'Chuanlong Li', 'Henry Lai', 'Weng-Cao Zhou', 'Weili Zhang', 'Xuehao Zhao']"
"$4,765,838",The Light Between Oceans,Walt Disney Studios Motion Pictures,"September 2, 2016 (Domestic, EMEA)",PG-13,2 hr 13 min,,A lighthouse keeper and his wife living off the coast of Western Australia raise a baby they rescue from a drifting rowing boat.,"['Michael Fassbender', 'Alicia Vikander', 'Rachel Weisz', 'Florence Clery']","['Derek Cianfrance', 'Derek Cianfrance', 'M.L. Stedman', 'Jeffrey Clifford', 'David Heyman', 'Alexandre Desplat', 'Adam Arkapaw', 'Jim Helton', 'Ron Patane', 'Karen Murphy']"
"$223,983",A Beautiful Planet,IMAX,"April 29, 2016 (Domestic)",,46 min,Documentary,An exploration of Earth and beyond as seen from the International Space Station. Narrated by Jennifer Lawrence.,"['Jennifer Lawrence', 'Samantha Cristoforetti', 'Scott Kelly', 'Kjell Lindgren']","['Toni Myers', 'Toni Myers', 'Toni Myers', 'Micky Erbe', 'Maribeth Solomon', 'James Neihouse', 'Toni Myers']"
"$86,931",Mr. Donkey,China Lion Film Distribution,"October 28, 2016 (Domestic, China)",,1 hr 53 min,Comedy,"In an effort to draw more funding from the government, faculty members of a rural Chinese school try to pass off an uneducated laborer as a qualified teacher.","['Suxi Ren', 'Li Da', 'Shuailiang Liu', 'Kuishan Pei']","['Lu Liu', 'Shen Zhou', 'Lu Liu', 'Shen Zhou', 'Tianyi Huang', 'Li Kang', 'Hongtao Liu', 'Qiri Sa']"
"$4,790,367",Born in China,Walt Disney Studios Motion Pictures,"August 12, 2016 (China)",G,1 hr 19 min,Documentary,"Venturing into the wilds of China, ""Born in China"" captures intimate moments with a panda and her growing cub, a young golden monkey who feels displaced by his baby sister, and a mother snow leopard struggling to raise her two cubs.","['John Krasinski', 'Claire Keim', 'Xun Zhou']","['Chuan Lu', 'David Fowler', 'Brian Leith', 'Phil Chapman', 'Chuan Lu', 'Phil Chapman', 'Roy Conli', 'Brian Leith', 'Barnaby Taylor', 'Irmin Kerck', 'Justin Maguire', 'Shane Moore', 'Rolf Steinmann', 'Paul Stewart', 'Matt Meech']"
"$7,353,922",Race,Focus Features,"February 19, 2016 (Domestic)",PG-13,2 hr 14 min,Biography Drama Sport,"Jesse Owens' quest to become the greatest track and field athlete in history thrusts him onto the world stage of the 1936 Olympics, where he faces off against Adolf Hitler's vision of Aryan supremacy.","['Stephan James', 'Jason Sudeikis', 'Eli Goree', 'Shanice Banton']","['Stephen Hopkins', 'Joe Shrapnel', 'Anna Waterhouse', 'Karsten Brünig', 'Luc Dayan', 'Kate Garwood', 'Stephen Hopkins', 'Jean-Charles Levy', 'Nicolas Manuel', 'Louis-Philippe Rochon', 'Dominique Séguin', 'Rachel Portman', 'Peter Levy', 'John Smith', 'David Brisbin']"
,Call of Heroes,,"August 12, 2016 (China)",,2 hr,Action Adventure Crime Thriller,"A group of villagers must stand up to a warlord's psychopath son, who is protected by a Commander with proficient martial arts skills as well as a small army.","['Ching Wan Lau', 'Eddie Peng', 'Louis Koo', 'Jing Wu']","['Benny Chan', 'Benny Chan', 'Wai Ching Tam', 'Chun Wong', 'Benny Chan', 'Alvin Lam', 'Kin-Wai Wong', 'Chor Keung Chan', 'Chi-Wai Yau']"
"$7,572,206",Free State of Jones,STX Entertainment,"June 24, 2016 (Domestic)",R,2 hr 19 min,,A disillusioned Confederate army deserter returns to Mississippi and leads a militia of fellow deserters and women in an uprising against the corrupt local Confederate government.,"['Matthew McConaughey', 'Gugu Mbatha-Raw', 'Mahershala Ali', 'Keri Russell']","['Gary Ross', 'Gary Ross', 'Leonard Hartman', 'Gary Ross', 'Jon Kilik', 'Gary Ross', 'Scott Stuber', 'Nicholas Britell', 'Benoît Delhomme', 'Pamela Martin', 'Juliette Welfling', 'Philip Messina']"
"$7,450,275",Whiskey Tango Foxtrot,Paramount Pictures,"March 4, 2016 (Domestic)",R,1 hr 52 min,,A journalist recounts her wartime coverage in Afghanistan.,"['Tina Fey', 'Margot Robbie', 'Martin Freeman', 'Alfred Molina']","['Glenn Ficarra', 'John Requa', 'Robert Carlock', 'Kim Barker', 'Ian Bryce', 'Tina Fey', 'Lorne Michaels', 'Nick Urata', 'Xavier Grobet', 'Jan Kovác', 'Beth Mickle']"
,Soulmate,,"September 14, 2016 (China)",,1 hr 50 min,Drama Romance,Two women who have been close friends since adolescence must cope with the changes that maturity brings.,"['Dongyu Zhou', 'Sichun Ma', 'Toby Lee', 'Gang Cai']","['Derek Tsang', 'Anni Baobei', 'Wing-Sum Lam', 'Yuan Li', 'Nan Wu', 'Yimeng Xu', 'Peter Ho-Sun Chan', 'Yuet-Jan Hui', 'Yusuke Hatano', 'Peter Kam', 'Jake Pollock', 'Jing-Pin Yu', 'Derek Hui', 'Dianshi Li', 'Xiang-Yuan Tan', 'Xiaolin Zhou', 'Tao Zhai']"
,The Snow Queen 3: Fire and Ice,Vertical Entertainment,"December 23, 2016 (Poland)",,1 hr 29 min,Adventure Animation Comedy Family Fantasy,The rare gift of getting into all kinds of trouble is their family trait. What else can you expect from the ones raised among trolls in snowy lands? But now Kai and Gerda have grown up and entered a new stage - this time they are going to cause a global disaster...,"['Natalya Bystrova', 'Nikolay Bystrov', 'Filipp Lebedev', 'Diomid Vinogradov']","['Alex Tsitsilin', 'Aleksey Zamyslov', 'Vladimir Nikolaev', 'Alex Tsitsilin', 'Andrey Korn', 'Robert Lence', 'Timur Bekmambetov', 'Yuriy Moskvin', 'Fabrizio Mancinelli', 'Aleksey Lyamkin']"
"$7,623,662",God's Not Dead 2,Pure Flix Entertainment,"March 30, 2016 (Dominican Republic)",PG,2 hr,Drama Fantasy,"When a high school teacher is asked a question in class about Jesus, her response lands her in deep trouble.","['Melissa Joan Hart', 'Jesse Metcalfe', 'David A.R. White', 'Hayley Orrantia']","['Harold Cronk', 'Chuck Konzelman', 'Cary Solomon', 'Elizabeth Hatcher-Travis', 'Michael Scott', 'David A.R. White', 'Russell Wolfe', 'Brittany Yost', 'Will Musser', 'Brian Shanley', 'Vance Null', 'Wynton Payne', 'Mitchell Crisp']"
,Camping 3,,"June 29, 2016 (France)",,1 hr 45 min,Comedy Drama,"This year, Patrick decided to test carpooling - Thinking of crossing France with Vanessa, he finds himself with three young dijonnais: Robert the charmer, Benji the beautiful kid and José the big mouth. Obviously, after the car-sharing, Patrick is forced to test the co-sleeping .","['Franck Dubosc', 'Claude Brasseur', 'Mylène Demongeot', 'Antoine Duléry']","['Fabien Onteniente', 'Franck Dubosc', 'Franck Dubosc', 'Franck Dubosc', 'Fabien Onteniente', 'Fabien Onteniente', 'Fabien Onteniente', 'Patrick Godeau', 'Jérôme Seydoux', ""Jean-Yves d'Angelo"", 'Maxime Desprez', 'Michaël Tordjman', ""Pierric Gantelmi d'Ille"", 'Elisa Aboulker', 'Sandro Lavezzi', 'Bruno Safar', 'Jacques Rouxel']"
"$3,404,102",The Founder,The Weinstein Company,"November 24, 2016 (APAC)",PG-13,1 hr 55 min,Biography Drama,"The story of Ray Kroc, a salesman who turned two brothers' innovative fast food eatery, McDonald's, into the biggest restaurant business in the world, with a combination of ambition, persistence, and ruthlessness.","['Michael Keaton', 'Nick Offerman', 'John Carroll Lynch', 'Linda Cardellini']","['John Lee Hancock', 'Robert Siegel', 'Don Handfield', 'Jeremy Renner', 'Aaron Ryder', 'Carter Burwell', 'John Schwartzman', 'Robert Frazen', 'Michael Corenblith']"
"$6,176,680",Bad Santa 2,Broad Green Pictures,"November 23, 2016 (Domestic, EMEA)",R,1 hr 32 min,,"Fueled by cheap whiskey, greed and hatred, Willie teams up once again with his angry little sidekick, Marcus, to knock off a Chicago charity on Christmas Eve.","['Billy Bob Thornton', 'Kathy Bates', 'Tony Cox', 'Christina Hendricks']","['Mark Waters', 'Johnny Rosenthal', 'Shauna Cross', 'Glenn Ficarra', 'John Requa', 'Andrew Gunn', 'Geyer Kosinski', 'Lyle Workman', 'Theo van de Sande', 'Travis Sittard', 'Isabelle Guay', 'James Terry Welden']"
"$10,012",Spirits' Homecoming,Pan Media & Entertainment,"February 24, 2016 (South Korea)",,2 hr 7 min,Drama,"Two Korean girls, Jung-Min (14) and Young-hee (15) are kidnapped by the Japanese Imperial Army and taken to a 'Comfort Station' in China. There, they join other kidnapped girls in serving Japanese soldiers as sexual slaves known as 'Comfort Woman'. By the end of the war, only one of the girls survives. Decades later, an elderly lady attempts to reunite with the spirit of her lost friend. Inspired by the testimony of Kang Il-chul.","['Soon-Hyoung Cha', 'Park Choong-Hwan', 'Kim Dong-Won', 'Kang Han-na']","['Cho Jung-Rae', 'Jung-a Jo', 'Cho Jung-Rae', 'Cho Jung-Rae', 'Sang-Hyup Kang', 'Park Misun']"
"$130,880",Silence,Paramount Pictures,"December 23, 2016 (Domestic)",R,2 hr 41 min,Drama History,"In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism.","['Andrew Garfield', 'Adam Driver', 'Liam Neeson', 'Tadanobu Asano']","['Martin Scorsese', 'Jay Cocks', 'Martin Scorsese', 'Shûsaku Endô', 'Vittorio Cecchi Gori', 'Barbara De Fina', 'Randall Emmett', 'David Lee', 'Gastón Pavlovich', 'Martin Scorsese', 'Emma Tillinger Koskoff', 'Irwin Winkler', 'Kathryn Kluge', 'Kim Allen Kluge', 'Rodrigo Prieto', 'Thelma Schoonmaker', 'Dante Ferretti']"
"$11,767,210",Kevin Hart: What Now?,Universal Pictures,"October 14, 2016 (Domestic)",R,1 hr 36 min,,"Comedian Kevin Hart performs in front of a crowd of 53,000 people at Philadelphia's outdoor venue, Lincoln Financial Field.","['Kevin Hart', 'Don Cheadle', 'Halle Berry', 'Ed Helms']","['Leslie Small', 'Tim Story', 'Kevin Hart', 'Joey Wells', 'Harry Ratchford', 'Kevin Hart', 'Brian Buccellato', 'Valerie Bleth Sharp', 'Jeff Clanagan', 'Dana Riddick', 'Pookey Wigington', 'Christopher Lennertz', 'Cameron Barnett', 'Christopher Duskin', 'Peter S. Elliot', 'Guy Harding', 'Gary Kordan', 'Bruce Ryan']"
"$3,676,235",No Manches Frida,Pantelion Films,"September 2, 2016 (Domestic)",PG-13,1 hr 54 min,Comedy Romance,"Zequi, a recently released bank robber who goes to recover stolen money buried by his ditzy accomplice before going to jail.","['Omar Chaparro', 'Martha Higareda', 'Mónica Dionne', 'Rocio Garcia']","['Nacho G. Velilla', 'Laurence Rosenthal', 'Claudio Herrera', 'Sergio Sánchez', 'Bora Dagtekin', 'Edward Allen', 'Edward Allen', 'Mauricio Argüelles', 'Martha Higareda', 'Juanjo Javierre', 'David Omedes', 'Ángel Hernández Zoido', 'Darío Carreto']"
"$6,878,437",Middle School: The Worst Years of My Life,Lionsgate Films,"October 6, 2016 (APAC, EMEA)",PG,1 hr 32 min,,"After his new principal Dwight destroys his sketchbook, Rafe Khatchadorian and his best friend Leo decide to metaphorically destroy Dwight's book by breaking every rule in the school's Code of Conduct.","['Griffin Gluck', 'Lauren Graham', 'Alexa Nisenson', 'Andy Daly']","['Steve Carr', 'Chris Bowman', 'Hubbel Palmer', 'Kara Holden', 'James Patterson', 'Chris Tebbetts', 'Leopoldo Gout', 'Bill Robinson', 'Jeff Cardoni', 'Julio Macat', 'Wendy Greene Bricmont', 'Craig Herring', 'Perry Andelin Blake']"
"$6,109,085",Triple 9,Open Road Films (II),"February 19, 2016 (United Kingdom)",R,1 hr 55 min,Action Crime Drama Thriller,A gang of criminals and corrupt cops plan the murder of a police officer in order to pull off their biggest heist yet across town.,"['Casey Affleck', 'Chiwetel Ejiofor', 'Anthony Mackie', 'Aaron Paul']","['John Hillcoat', 'Matt Cook', 'Marc Butan', 'Bard Dorros', 'John Hillcoat', 'Anthony Katagas', 'Keith Redmon', 'Christopher Woodrow', 'The Haxan Cloak', 'Atticus Ross', 'Leopold Ross', 'Claudia Sarne', 'Nicolas Karakatsanis', 'Dylan Tichenor', 'Tim Grimes']"
"$3,704,749",Rock Dog,Lionsgate Films,"July 8, 2016 (China)",PG,1 hr 30 min,Adventure Animation Comedy Family Music,"When a radio falls from the sky into the hands of a wide-eyed Tibetan Mastiff, he leaves home to fulfill his dream of becoming a musician, setting into motion a series of completely unexpected events.","['Luke Wilson', 'Eddie Izzard', 'J.K. Simmons', 'Lewis Black']","['Ash Brannon', 'Ash Brannon', 'Kurt Voelker', 'Ash Brannon', 'Jun Zheng', 'Jun Zheng', 'Denise Bradley', 'Vincente DiSanti', 'Will Finn', 'Carolyn Gair', 'Nicole McMath', 'Josh Zinman', 'Rob Feng', 'Joyce Lou', 'David B. Miller', 'David Brian Miller', 'Amber Wang', 'Jun Zheng', 'Rolfe Kent', 'Ivan Bilancio', 'Ed Fuller', 'Elad Tibi']"
"$247,966,675",Star Wars: Episode VII - The Force Awakens,Walt Disney Studios Motion Pictures,"December 16, 2015 (EMEA, APAC)",PG-13,2 hr 18 min,,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.","['Daisy Ridley', 'John Boyega', 'Oscar Isaac', 'Domhnall Gleeson']","['J.J. Abrams', 'Lawrence Kasdan', 'J.J. Abrams', 'Michael Arndt', 'George Lucas', 'J.J. Abrams', 'Bryan Burk', 'Kathleen Kennedy', 'John Williams', 'Dan Mindel', 'Maryann Brandon', 'Mary Jo Markey', 'Rick Carter', 'Darren Gilford']"
"$208,806,270",Jurassic World,Universal Pictures,"June 10, 2015 (9 markets)",PG-13,2 hr 4 min,,"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree.","['Chris Pratt', 'Bryce Dallas Howard', 'Ty Simpkins', 'Judy Greer']","['Colin Trevorrow', 'Rick Jaffa', 'Amanda Silver', 'Colin Trevorrow', 'Derek Connolly', 'Rick Jaffa', 'Amanda Silver', 'Michael Crichton', 'Patrick Crowley', 'Frank Marshall', 'Michael Giacchino', 'John Schwartzman', 'Kevin Stitt', 'Ed Verreaux']"
"$147,187,040",Furious 7,Universal Pictures,"April 1, 2015 (15 markets)",PG-13,2 hr 17 min,,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,"['Vin Diesel', 'Paul Walker', 'Dwayne Johnson', 'Jason Statham']","['James Wan', 'Chris Morgan', 'Gary Scott Thompson', 'Vin Diesel', 'Michael Fottrell', 'Neal H. Moritz', 'Brian Tyler', 'Marc Spicer', 'Stephen F. Windon', 'Leigh Folsom Boyd', 'Dylan Highsmith', 'Kirk M. Morri', 'Christian Wagner', 'Bill Brzeski']"
"$191,271,109",Avengers: Age of Ultron,Walt Disney Studios Motion Pictures,"April 22, 2015 (APAC, EMEA)",PG-13,2 hr 21 min,,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth']","['Joss Whedon', 'Joss Whedon', 'Stan Lee', 'Jack Kirby', 'Joe Simon', 'Jack Kirby', 'Jim Starlin', 'Kevin Feige', 'Danny Elfman', 'Brian Tyler', 'Ben Davis', 'Jeffrey Ford', 'Lisa Lassek', 'Charles Wood']"
"$115,718,405",Minions,Universal Pictures,"April 9, 2015 (Türkiye)",PG,1 hr 31 min,,"Minions Stuart, Kevin, and Bob are recruited by Scarlet Overkill, a supervillain who, alongside her inventor husband Herb, hatches a plot to take over the world.","['Sandra Bullock', 'Jon Hamm', 'Michael Keaton', 'Pierre Coffin']","['Kyle Balda', 'Pierre Coffin', 'Brian Lynch', 'Janet Healy', 'Christopher Meledandri', 'Heitor Pereira', 'Claire Dodgson', 'Eric Guillon']"
"$70,403,148",Spectre,Sony Pictures Releasing,"October 26, 2015 (United Kingdom)",PG-13,2 hr 28 min,,"A cryptic message from James Bond's past sends him on a trail to uncover the existence of a sinister organisation named SPECTRE. With a new threat dawning, Bond learns the terrible truth about the author of all his pain in his most recent missions.","['Daniel Craig', 'Christoph Waltz', 'Léa Seydoux', 'Ralph Fiennes']","['Sam Mendes', 'John Logan', 'Neal Purvis', 'Robert Wade', 'Jez Butterworth', 'John Logan', 'Neal Purvis', 'Robert Wade', 'Ian Fleming', 'Barbara Broccoli', 'Michael G. Wilson', 'Thomas Newman', 'Hoyte Van Hoytema', 'Lee Smith', 'Dennis Gassner']"
"$90,440,272",Inside Out,Walt Disney Studios Motion Pictures,"June 10, 2015 (Russia/CIS)",PG,1 hr 35 min,,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.","['Amy Poehler', 'Bill Hader', 'Lewis Black', 'Mindy Kaling']","['Pete Docter', 'Ronnie Del Carmen', 'Pete Docter', 'Ronnie Del Carmen', 'Pete Docter', 'Meg LeFauve', 'Josh Cooley', 'Michael Arndt', 'Simon Rich', 'Bill Hader', 'Amy Poehler', 'Jonas Rivera', 'Michael Giacchino', 'Kevin Nolting', 'Ralph Eggleston']"
"$55,520,089",Mission: Impossible - Rogue Nation,Paramount Pictures,"July 24, 2015 (Bulgaria)",PG-13,2 hr 11 min,,Ethan and his team take on their most impossible mission yet when they have to eradicate an international rogue organization as highly skilled as they are and committed to destroying the IMF.,"['Tom Cruise', 'Rebecca Ferguson', 'Jeremy Renner', 'Simon Pegg']","['Christopher McQuarrie', 'Bruce Geller', 'Christopher McQuarrie', 'Drew Pearce', 'Christopher McQuarrie', 'J.J. Abrams', 'Bryan Burk', 'Tom Cruise', 'David Ellison', 'Dana Goldberg', 'Don Granger', 'Joe Kraemer', 'Robert Elswit', 'Eddie Hamilton', 'Jim Bissell']"
"$102,665,981",The Hunger Games: Mockingjay - Part 2,Lionsgate Films,"November 18, 2015 (13 markets)",PG-13,2 hr 17 min,,Katniss and a team of rebels from District 13 prepare for the final battle that will decide the fate of Panem.,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson']","['Francis Lawrence', 'Peter Craig', 'Danny Strong', 'Suzanne Collins', 'Suzanne Collins', 'Nina Jacobson', 'Jon Kilik', 'James Newton Howard', 'Jo Willems', 'Alan Edward Bell', 'Mark Yoshikawa', 'Philip Messina']"
"$54,308,575",The Martian,Twentieth Century Fox,"September 30, 2015 (Philippines)",PG-13,2 hr 24 min,,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue.","['Matt Damon', 'Jessica Chastain', 'Kristen Wiig', 'Kate Mara']","['Ridley Scott', 'Drew Goddard', 'Andy Weir', 'Mark Huffam', 'Simon Kinberg', 'Michael Schaefer', 'Ridley Scott', 'Aditya Sood', 'Harry Gregson-Williams', 'Dariusz Wolski', 'Pietro Scalia', 'Arthur Max']"
